countryid,NationalTeamName,FlagPath,FlagPathWeb
153,TONGA,flags-normal/flag-of-Tonga.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Tonga.png
94,TRINIDAD & TOBAGO,,
116,TUNISIA,flags-normal/flag-of-Tunisia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Tunisia.png
73,TURKEY,flags-normal/flag-of-Turkey.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Turkey.png
35,TURKMENISTAN,flags-normal/flag-of-Turkmenistan.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Turkmenistan.png
219,TURKS AND CAICOS ISLANDS,,
130,UGANDA,flags-normal/flag-of-Uganda.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Uganda.png
74,UKRAINE,flags-normal/flag-of-Ukraine.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Ukraine.png
29,UNITED ARAB EMIRATES,flags-normal/flag-of-United-Arab-Emirates.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-United-Arab-Emirates.png
8,URUGUAY,flags-normal/flag-of-Uruguay.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Uruguay.png
221,US VIRGIN ISLANDS,,
95,USA,,
30,UZBEKISTAN,flags-normal/flag-of-Uzbekistan.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Uzbekistan.png
15,VANUATU,flags-normal/flag-of-Vanuatu.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Vanuatu.png
10,VENEZUELA,flags-normal/flag-of-Venezuela.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Venezuela.png
38,VIETNAM,flags-normal/flag-of-Vietnam.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Vietnam.png
75,WALES,,
42,YEMEN,flags-normal/flag-of-Yemen.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Yemen.png
131,ZAMBIA,flags-normal/flag-of-Zambia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Zambia.png
209,ZANZIBAR,,
132,ZIMBABWE,flags-normal/flag-of-Zimbabwe.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Zimbabwe.png
