countryid,teamName,countryCode,teamNameClean,teamNameCleanAll,FlagPath,FlagPathWeb,filename_x
99,Guyana,GUY,guyana,guyana,flags-normal/flag-of-Guyana.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Guyana.png,flag-of-Guyana.png
100,Haiti,HAI,haiti,haiti,flags-normal/flag-of-Haiti.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Haiti.png,flag-of-Haiti.png
101,Honduras,HON,honduras,honduras,flags-normal/flag-of-Honduras.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Honduras.png,flag-of-Honduras.png
31,Hong Kong,HKG,hong kong,hongkong,flags-normal/flag-of-Hong-Kong.png,,flag-of-Hong-Kong.png
55,Hungary,HUN,hungary,hungary,flags-normal/flag-of-Hungary.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Hungary.png,flag-of-Hungary.png
81,Iceland,ISL,iceland,iceland,flags-normal/flag-of-Iceland.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Iceland.png,flag-of-Iceland.png
43,India,IND,india,india,flags-normal/flag-of-India.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-India.png,flag-of-India.png
39,Indonesia,IDN,indonesia,indonesia,flags-normal/flag-of-Indonesia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Indonesia.png,flag-of-Indonesia.png
17,Iran,IRN,iran,iran,flags-normal/flag-of-Iran.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Iran.png,flag-of-Iran.png
24,Iraq,IRQ,iraq,iraq,flags-normal/flag-of-Iraq.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Iraq.png,flag-of-Iraq.png
82,Israel,ISR,israel,israel,flags-normal/flag-of-Israel.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Israel.png,flag-of-Israel.png
57,Italy,ITA,italy,italy,flags-normal/flag-of-Italy.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Italy.png,flag-of-Italy.png
102,Jamaica,JAM,jamaica,jamaica,flags-normal/flag-of-Jamaica.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Jamaica.png,flag-of-Jamaica.png
18,Japan,JPN,japan,japan,flags-normal/flag-of-Japan.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Japan.png,flag-of-Japan.png
25,Jordan,JOR,jordan,jordan,flags-normal/flag-of-Jordan.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Jordan.png,flag-of-Jordan.png
87,Kazakhstan,KAZ,kazakhstan,kazakhstan,flags-normal/flag-of-Kazakhstan.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Kazakhstan.png,flag-of-Kazakhstan.png
