countryid,NationalTeamName,NationalTeamsNameFiltering,FlagPath,FlagPathWeb,filename_x,filename_y,countrynameextract
40,KYRGYZSTAN,kyrgyzstan,flags-normal/flag-of-Kyrgyzstan.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Kyrgyzstan.png,flag-of-Kyrgyzstan.png,flag-of-Kyrgyzstan.png,kyrgyzstan
186,LAOS,laos,flags-normal/flag-of-Laos.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Laos.png,flag-of-Laos.png,flag-of-Laos.png,laos
58,LATVIA,latvia,flags-normal/flag-of-Latvia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Latvia.png,flag-of-Latvia.png,flag-of-Latvia.png,latvia
37,LEBANON,lebanon,flags-normal/flag-of-Lebanon.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Lebanon.png,flag-of-Lebanon.png,flag-of-Lebanon.png,lebanon
200,LESOTHO,lesotho,flags-normal/flag-of-Lesotho.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Lesotho.png,flag-of-Lesotho.png,flag-of-Lesotho.png,lesotho
149,LIBERIA,liberia,flags-normal/flag-of-Liberia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Liberia.png,flag-of-Liberia.png,flag-of-Liberia.png,liberia
126,LIBYA,libya,flags-normal/flag-of-Libya.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Libya.png,flag-of-Libya.png,flag-of-Libya.png,libya
89,LIECHTENSTEIN,liechtenstein,flags-normal/flag-of-Liechtenstein.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Liechtenstein.png,flag-of-Liechtenstein.png,flag-of-Liechtenstein.png,liechtenstein
83,LITHUANIA,lithuania,flags-normal/flag-of-Lithuania.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Lithuania.png,flag-of-Lithuania.png,flag-of-Lithuania.png,lithuania
152,LUXEMBOURG,luxembourg,flags-normal/flag-of-Luxembourg.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Luxembourg.png,flag-of-Luxembourg.png,flag-of-Luxembourg.png,luxembourg
160,MACAU,macau,flags-normal/flag-of-Macau.png,,flag-of-Macau.png,flag-of-Macau.png,macau
182,MADAGASCAR,madagascar,flags-normal/flag-of-Madagascar.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Madagascar.png,flag-of-Madagascar.png,flag-of-Madagascar.png,madagascar
146,MALAWI,malawi,flags-normal/flag-of-Malawi.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Malawi.png,flag-of-Malawi.png,flag-of-Malawi.png,malawi
151,MALAYSIA,malaysia,flags-normal/flag-of-Malaysia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Malaysia.png,flag-of-Malaysia.png,flag-of-Malaysia.png,malaysia
162,MALDIVES,maldives,flags-normal/flag-of-Maldives.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Maldives.png,flag-of-Maldives.png,flag-of-Maldives.png,maldives
127,MALI,mali,flags-normal/flag-of-Mali.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Mali.png,flag-of-Mali.png,flag-of-Mali.png,mali
91,MALTA,malta,flags-normal/flag-of-Malta.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Malta.png,flag-of-Malta.png,flag-of-Malta.png,malta
214,MARTINIQUE,martinique,flags-normal/flag-of-Martinique.png,,flag-of-Martinique.png,flag-of-Martinique.png,martinique
147,MAURITANIA,mauritania,flags-normal/flag-of-Mauritania.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Mauritania.png,flag-of-Mauritania.png,flag-of-Mauritania.png,mauritania
183,MAURITIUS,mauritius,flags-normal/flag-of-Mauritius.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Mauritius.png,flag-of-Mauritius.png,flag-of-Mauritius.png,mauritius
205,MAYOTTE,mayotte,flags-normal/flag-of-Mayotte.png,,flag-of-Mayotte.png,flag-of-Mayotte.png,mayotte
93,MEXICO,mexico,flags-normal/flag-of-Mexico.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Mexico.png,flag-of-Mexico.png,flag-of-Mexico.png,mexico
85,MOLDOVA,moldova,flags-normal/flag-of-Moldova.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Moldova.png,flag-of-Moldova.png,flag-of-Moldova.png,moldova
189,MONGOLIA,mongolia,flags-normal/flag-of-Mongolia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Mongolia.png,flag-of-Mongolia.png,flag-of-Mongolia.png,mongolia
184,MONTENEGRO,montenegro,flags-normal/flag-of-Montenegro.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Montenegro.png,flag-of-Montenegro.png,flag-of-Montenegro.png,montenegro
216,MONTSERRAT,montserrat,flags-normal/flag-of-Montserrat.png,,flag-of-Montserrat.png,flag-of-Montserrat.png,montserrat
128,MOROCCO,morocco,flags-normal/flag-of-Morocco.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Morocco.png,flag-of-Morocco.png,flag-of-Morocco.png,morocco
134,MOZAMBIQUE,mozambique,flags-normal/flag-of-Mozambique.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Mozambique.png,flag-of-Mozambique.png,flag-of-Mozambique.png,mozambique
188,MYANMAR,myanmar,flags-normal/flag-of-Myanmar.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Myanmar.png,flag-of-Myanmar.png,flag-of-Myanmar.png,myanmar
142,NAMIBIA,namibia,flags-normal/flag-of-Namibia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Namibia.png,flag-of-Namibia.png,flag-of-Namibia.png,namibia
158,NEPAL,nepal,flags-normal/flag-of-Nepal.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Nepal.png,flag-of-Nepal.png,flag-of-Nepal.png,nepal
59,NETHERLANDS,netherlands,flags-normal/flag-of-Netherlands.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Netherlands.png,flag-of-Netherlands.png,flag-of-Netherlands.png,netherlands
12,NEW CALEDONIA,newcaledonia,flags-normal/flag-of-New-Caledonia.png,,flag-of-New-Caledonia.png,flag-of-New-Caledonia.png,newcaledonia
11,NEW ZEALAND,newzealand,flags-normal/flag-of-New-Zealand.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-New-Zealand.png,flag-of-New-Zealand.png,flag-of-New-Zealand.png,newzealand
176,NICARAGUA,nicaragua,flags-normal/flag-of-Nicaragua.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Nicaragua.png,flag-of-Nicaragua.png,flag-of-Nicaragua.png,nicaragua
196,NIGER,niger,flags-normal/flag-of-Niger.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Niger.png,flag-of-Niger.png,flag-of-Niger.png,niger
113,NIGERIA,nigeria,flags-normal/flag-of-Nigeria.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Nigeria.png,flag-of-Nigeria.png,flag-of-Nigeria.png,nigeria
84,NORTH MACEDONIA,northmacedonia,flags-normal/flag-of-North-Macedonia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-North-Macedonia.png,flag-of-North-Macedonia.png,flag-of-North-Macedonia.png,northmacedonia
60,NORTHERN IRELAND,northernireland,flags-normal/flag-of-Northern-Ireland.png,,flag-of-Northern-Ireland.png,flag-of-Northern-Ireland.png,northernireland
